[06/18/22 11:51:18] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 13:19:07] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 13:20:09] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 13:26:54] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 14:40:06] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 14:43:52] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 14:57:53] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 14:58:54] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 15:00:12] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 15:02:37] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 15:04:10] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:17:58] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:19:39] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:21:02] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:27:28] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:44:51] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:47:23] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:48:21] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:53:55] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 16:55:35] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 17:00:51] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 17:04:06] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 17:05:59] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 17:51:54] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:02:14] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:21:41] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:23:15] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:47:06] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:56:14] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 18:57:45] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:05:45] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:07:29] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:08:29] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:19:10] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:21:53] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:23:27] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:24:46] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 19:26:00] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 20:15:37] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 20:18:17] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 20:21:57] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 20:24:22] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 20:25:32] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:20:23] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:25:01] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:40:31] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:44:31] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:45:43] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:46:51] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:48:01] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:52:45] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:54:38] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:57:00] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 00:58:58] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 01:42:20] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 01:44:35] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 02:18:41] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 03:29:55] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
